mode,river,station,target,nse,rmse,mae,crps,cov80,cov90,calib,n
zs512,nak,S02020,chl-a,0.13067325152011866,12.347203932198868,7.692931073572474,4.859511563825621,0.7574931880108992,0.8610354223433242,0.020980926430517712,367
zs512,nak,S02021,do,0.6860035437649178,1.4430435036649856,1.024330403812799,0.6015392796827302,0.745928338762215,0.8729641693811075,0.050953932061423915,307
zs512,nak,S02021,toc,0.4844644325801396,0.8046885678321598,0.4481595808207401,0.2913795791543151,0.7590673575129534,0.8782383419689119,0.017394522575869726,386
zs512,nak,S02021,tn,0.21880344767942295,0.6764080326158683,0.3771676791782823,0.260210366748308,0.785377358490566,0.8702830188679245,0.02850404312668464,424
zs512,nak,S02021,tp,0.20593540875914162,0.026629355507150055,0.009334878146115378,0.006816785873737958,0.8047619047619048,0.9,0.040136054421768694,420
zs512,nak,S02021,chl-a,-0.17841873214308057,10.203160366825761,6.952449724264039,4.132934217917354,0.7587006960556845,0.8839907192575406,0.02055021544580708,431
zs512,nak,S02022,do,0.5834173521031841,1.523830517385186,1.1353072170706955,0.6689304142739335,0.765807962529274,0.8852459016393442,0.013348946135831362,427
zs512,nak,S02022,toc,0.4541943248335605,0.6167957256098807,0.3205561502025983,0.22294536193645018,0.7817745803357314,0.8872901678657075,0.03374443302500856,417
zs512,nak,S02022,tn,0.4951573513113843,0.3999731735887127,0.29044062067742155,0.17499982805948752,0.6912114014251781,0.8598574821852731,0.04027824906684764,421
zs512,nak,S02022,tp,0.23737740089138037,0.016338285422015295,0.008940376424127969,0.005793728853451431,0.8157248157248157,0.9041769041769042,0.02369252369252368,407
